Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Motorola,Droid MAXX,obake-maxx,1796MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,17;19,2.0;3.0
Motorola,XT701,choles,,Phone, ,480x854,240,armeabi-v7a;armeabi,7,2.0
Motorola,MZ505,graham_wifi,,Tablet,NVidia Tegra 2 T20,1280x752,160,armeabi-v7a;armeabi,15,2.0
Motorola,MZ505,Graham,,Tablet,NVidia Tegra 2 T20,1280x800,160,armeabi-v7a;armeabi,12,2.0
Motorola,moto g(6),ali,2856MB,Phone,Qualcomm SDM450,1080x2160,480,armeabi-v7a;armeabi,26,3.2
Motorola,moto g(6),ali_n,2856MB,Phone,Qualcomm SDM450,1080x2160,480,armeabi-v7a;armeabi,26,3.2
Motorola,XT311,XT311,,Phone,Qualcomm MSM7227,240x320,120,armeabi,10,2.0
Motorola,Moto G (1st Gen),falcon_umts,882-888MB,Phone,Qualcomm MSM8626,720x1280,320,armeabi-v7a;armeabi,18;19;21;22,3.0
Motorola,Moto G (1st Gen),falcon_cdma,882-888MB,Phone,Qualcomm MSM8x26,720x1280,320,armeabi-v7a;armeabi,18;19;21;22,3.0
Motorola,Moto G (1st Gen),falcon_umtsds,882-888MB,Phone,Qualcomm MSM8x26,720x1280,320,armeabi-v7a;armeabi,18;19;21;22,3.0
Motorola,i940,fawnridge,,Phone,Freescale Zeus 2.0,320x480,160,armeabi,7,1.0
Motorola,Moto Defy XT,tinboostplus_cdma,,Phone,Qualcomm MSM7227,480x854,240,armeabi-v7a;armeabi,10,2.0
Motorola,Moto Defy XT,XT535,,Phone,Qualcomm MSM7227,480x854,240,armeabi-v7a;armeabi,10,2.0
Motorola,Moto Defy XT,tinboostplus_umts,,Phone,Qualcomm MSM7227,480x854,240,armeabi-v7a;armeabi,10;15,2.0
Motorola,Moto G (5S) Plus,sanders_n,3619-3641MB,Phone,Qualcomm MSM8953,1080x1920,480,armeabi-v7a;armeabi,25;27,3.2
Motorola,Moto G (5S) Plus,sanders,2879-3619MB,Phone,Qualcomm MSM8953,1080x1920,480,armeabi-v7a;armeabi,25;27,3.2
Motorola,Moto G (5S) Plus,sanders_nt,2857-2879MB,Phone,Qualcomm MSM8953,1080x1920,480,armeabi-v7a;armeabi,25;27,3.2
Motorola,Moto E3 Power,taido_row,1938MB,Phone,Mediatek MT6735P,720x1280,320,armeabi-v7a;armeabi,23,3.0
Motorola,DROID RAZR HD,vanquish_u,802-823MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16;19,2.0
Motorola,DROID RAZR HD,vanquish,802-823MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16;19,2.0
Motorola,Defy Mini,tinboost_umts,,Phone,Qualcomm MSM7227A,320x480,160,armeabi-v7a;armeabi,10,2.0
Motorola,Defy Mini,TinBoost,,Phone,Qualcomm MSM7225A,320x480,160,armeabi-v7a;armeabi,10,2.0
Motorola,Moto X (2nd Gen),victara,1866-1870MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21;22;23,3.0
Motorola,Moto MAXX,quark_umts,2769-2786MB,Phone,Qualcomm APQ8084,1440x2560,640,armeabi-v7a;armeabi,19;21;23,3.0;3.1
Motorola,Droid 3,cdma_solana,,Phone,TI OMAP4430,540x960,240,armeabi-v7a;armeabi,10,2.0
Motorola,moto P30 NOTE,chef,3738MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Motorola,Moto 360,minnow,498MB,Wearable,TI OMAP3605,320x290,213,armeabi-v7a;armeabi,20;21;22;23,2.0
Motorola,Moto Z Droid,griffin,3777-3780MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;25;26,3.1;3.2
Motorola,RAZR M,smq_t,823MB,Phone,Qualcomm MSM8960,540x888,240,armeabi-v7a;armeabi,16,2.0
Motorola,RAZR M,smq,802MB,Phone,Qualcomm MSM8960,540x960,240,armeabi-v7a;armeabi,19,2.0
Motorola,Moto G (4) Play,harpia_n,897-898MB,Phone,Qualcomm MSM8916,1280x720;720x1280,320,armeabi-v7a;armeabi,23;25,3.0
Motorola,Moto G4 Play,harpia_t,1913-1914MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23;25,3.0
Motorola,Moto G4 Play,harpia,1913-1914MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,23;25,3.0
Motorola,Motoroi,sholest,,Tablet, ,800x480,120,armeabi-v7a;armeabi,7;8,2.0
Motorola,moto g(6) plus,evert_n,3743MB,Phone,Qualcomm SDM630,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2
Motorola,moto g(6) plus,evert,5741MB,Phone,Qualcomm SDM630,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2
Motorola,moto g(6) plus,evert_nt,3743MB,Phone,Qualcomm SDM630,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2
Motorola,Droid X,cdma_shadow,,Phone,TI OMAP3630,480x854,240,armeabi-v7a;armeabi,7;8;10,2.0
Motorola,Moto G with 4G LTE (2nd Gen),thea,873-875MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,21;23,3.0
Motorola,Moto G with 4G LTE (2nd Gen),thea_ds,873-875MB,Phone,Qualcomm MSM8x26,720x1280,320,armeabi-v7a;armeabi,21;22;23,3.0
Motorola,Moto G with 4G LTE (2nd Gen),thea_umtsds,856-875MB,Phone,Qualcomm MSM8226,720x1280,320,armeabi-v7a;armeabi,19;21;23,3.0
Motorola,DROID BIONIC,cdma_targa,840MB,Phone,TI OMAP4430,960x540,240,armeabi-v7a;armeabi,10;15;16,2.0
Motorola,Photon 4G,sunfire,,Phone,NVidia Tegra 2,960x540,240,armeabi-v7a;armeabi,10,2.0
Motorola,HS1,Motorola_HS1,997MB,Phone,Mediatek MT6580,480x800,240,armeabi-v7a;armeabi,22,2.0
Motorola Solutions,TC55CH,TC55CH,,Phone,Qualcomm MSM8960,480x800,240,armeabi-v7a;armeabi,16,2.0
Motorola Solutions,TC55,TC55,,Phone,Qualcomm MSM8960,480x800,240,armeabi-v7a;armeabi,16,2.0
Motorola Solutions,LEX L10ig,lexl10ig,1861-1874MB,Phone,Qualcomm MSM8974AA,720x1280,320,armeabi-v7a;armeabi,19;23,3.0
Motorola Solutions,LEX F10,LEXF10,873MB,Phone,Qualcomm MSM8926,480x800,240,armeabi-v7a;armeabi,22,3.0
Motorola Solutions,LEX L10g,lexl10g,1868MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,19,3.0
Movado,Movado Connect,stargazer,443MB,Wearable,Qualcomm APQ8009,400x400,280,armeabi-v7a;armeabi,25;26,3.0
Movado,Boss Touch / TH 24/7 YOU,weever,443-444MB,Wearable,Qualcomm APQ8009,400x400,280,armeabi-v7a;armeabi,25;26,3.0
Moveby,LINNEX,LX50,1910MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
MOVI,Movi Projector Phone,Movi,2809MB,Phone,Mediatek MT6570,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
MOVIC,F5003,F5003,943MB,Phone,Mediatek MT6580,540x960,240,armeabi-v7a;armeabi,27,2.0
MOVIC,Dual,Dual,1836MB,Phone,Mediatek MT6737T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.1
MOVIC,MOVIC-W2,MOVIC-W2,963MB,Phone,Mediatek MT6580,540x960,240,armeabi-v7a;armeabi,24,2.0
Movic,MOVIC_W5,MOVIC_W5,960MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Moviltelco Trade,mtt L509,L509,870MB,Phone,Mediatek MT6737,480x854,240,armeabi-v7a;armeabi,24,3.1
Moviltelco Trade,mtt L452,L452,877MB,Phone,Spreadtrum SC9832,480x854,240,armeabi-v7a;armeabi,24,2.0
Moviltelco Trade,A58B,A58B,953MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Moxee Technologies,X100,X100,462MB,Phone,Mediatek MT6572A,480x854,213,armeabi-v7a;armeabi,19,2.0
Moxee Technologies,X10,X10,399MB,Phone,Mediatek MT6732,480x854,240,armeabi-v7a;armeabi,19,3.0
Mpman,PH604,PH604,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
MPman,MPDC706,MPDC706,418MB,Tablet,Allwinner A23,800x480,120,armeabi-v7a;armeabi,17,2.0
MPman,MPDC1006,MPDC1006,,Tablet,Allwinner A23,1024x600,160,armeabi-v7a;armeabi,17,2.0
MSI,Primo81,N821,708-741MB,Tablet,Allwinner A31S,768x1024,160,armeabi-v7a;armeabi,17;19,2.0
MSI,Primo81,Primo81,741MB,Tablet,Allwinner A31S,768x1024,160,armeabi-v7a;armeabi,17,2.0
MSI,Primo73,N71J,813MB,Tablet,Allwinner A20,1024x600,160,armeabi-v7a;armeabi,17,2.0
MSI,Primo76,N728,957MB,Tablet,Mediatek MT8389,1280x800,213,armeabi-v7a;armeabi,17,2.0
MTC,982,MTC_982,467MB,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,17,2.0
MTC,Vodafone Smart mini,Vodafone_875,475MB,Phone,Mediatek MT6575M,320x480,160,armeabi-v7a;armeabi,16,2.0
MTN Group,Sm@rt Mini S630,MTN-S630,,Phone,Mediatek MT6572M,320x480,160,armeabi-v7a;armeabi,22,2.0
MTN Group,S720i,MTN-S720i,465MB,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,19,2.0
MTN Group,S620,MTN-S620,470MB,Phone,Mediatek MT6572,320x480,160,armeabi-v7a;armeabi,19;22,2.0
MTN Group,MTN Sm@rt L860,MTN-L860,920-927MB,Phone,Mediatek MT6735P,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
MTN Group,K919,K919,425MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
MTN Group,MTN Smart S730,MTN-S730,,Phone,Mediatek MT6572A,480x800,240,armeabi-v7a;armeabi,22,2.0
MTN Group,MTN Steppa 2 LTE ,Steppa2,,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3.0
MTN Group,MTN Sm@rt L840,MTN-L840,909MB,Phone,Mediatek MT6737M,480x854,240,armeabi-v7a;armeabi,24,3.1
MTN Group,8978P,MTN-8978P,910MB,Tablet,Qualcomm MSM8212,1024x600,160,armeabi-v7a;armeabi,19,3.0
MTN Group,MTN Smart S810,MTN-S810,951MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,23,2.0
MTN Group,MTN Smart S735,MTN-S735,,Phone,Mediatek MT6572A,480x854,240,armeabi-v7a;armeabi,22,2.0
MTN Group,5982C3,MTN-TBW5982C3,,Phone,Qualcomm MSM8210,480x800,240,armeabi-v7a;armeabi,18,3.0
MTN-E70,MTN-E70,MTN-E70,,Phone,Qualcomm MSM8210,320x480,160,armeabi-v7a;armeabi,18,3.0
MTT,Smart Fun,SmartFun,,Phone,Qualcomm MSM8225,320x480,160,armeabi-v7a;armeabi,16,2.0
MTT,Master,Master,818MB,Phone,Qualcomm MSM8225Q,540x960,240,armeabi-v7a;armeabi,16,2.0
Multilaser,MS50X,ML-TI-MS50X,895MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,27,3.2
Multilaser,M10A,M10A,1969-1973MB,Tablet,Mediatek MT8321,1280x800,160,armeabi-v7a;armeabi,23;24,2.0
Multilaser,Kidpad-3G,Kidpad-3G,961MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,24,2.0
Multilaser,MS60F,MS60F,873MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,24,2.0
Multilaser,MS50S,MS50S,963MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
Multilaser,MS40S,MS40S,925-963MB,Phone,Spreadtrum SC7731C,480x800,213;240,armeabi-v7a;armeabi,23;24,2.0
Multilaser,MS55,MS55,959MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,22,2.0
Multilaser,M7-3G PLUS,ML-JI-M7_3G_PLUS,1061MB,Phone,Spreadtrum SC7731G,600x1024,213,armeabi-v7a;armeabi,24,2.0
Multilaser,M7-3G PLUS,ML-WI-M7_3G_PLUS,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,24,2.0
Multilaser,MS45S,MS45S,963MB,Phone,Spreadtrum SC7731,480x854,240,armeabi-v7a;armeabi,22,2.0
Multilaser,MS45S,MS45S_A6,925-963MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23;24,2.0
Multilaser,MS50,MS50,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,21,2.0
Multilaser,MS60,MS60,1946MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,22,3.0
Multilaser,MS80,ML-TI-MS80,2858MB,Phone,Qualcomm MSM8937,1440x720,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Multilaser,MS50_4G,MS50_4G,920MB,Phone,Mediatek MT6735P,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Multilaser,M7s Dual Core ,NB116_NB117_NB118,879MB,Tablet,Rockchip RK3026,800x480,120,armeabi-v7a;armeabi,19,2.0
Multilaser,M7I-3G,M7I-3G,919MB,Tablet,Intel C3130,600x1024,160,x86;armeabi-v7a;armeabi,23,2.0
Multilaser,M7I-3G,astar-ococci,512MB,Phone,Allwinner A33,480x800,160,armeabi-v7a;armeabi,19,2.0
Multilaser,ML-SO-MLX1,ML-SO-MLX1,980MB,Tablet,Allwinner A64,1024x600,160,arm64-v8a;armeabi-v7a;armeabi,25,2.0
